"Data Source","World Development Indicators",
"Gambia, The","GMB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","65491","67697","68778","70388","71704","72848","69398","67233","66144","64622","59814","58886","58455","59556","59246","61963","","","","88826","","106581","106925","","","106814","","111495","95702","105588","109049","117158","112164","113056","119773","109440","105260","116974","","114306","120244","113659","114700","110650","103478","100578","94289","90549","79864","74797","79262","80033","81428","82678",
"Guinea-Bissau","GNB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","81764","74078","","80913","82013","","93226","95033","","","","","","","","","","","","100866","","","","","","","","","","75097","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29722","","","","","","43364","42477","47194","50901","","","","","88836","92471","96571","99881","104329","","","128846","","","","","","","","","",
"Greece","GRC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1258","42270","28045","15816","14379","18417","15171","","","9572","10127","12388","14515","18430","14054","9269","12943","19606","20810","23966","24137","13","622","",
"Grenada","GRD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","1905","","","","","2920","2614","2181","2098","2289","2492","2083","1269","","","","","","","","","","","","","","","188","","","382","","318","954","","260","207","","","","","","541","","496","","14.8863057324834","","","339","","","534.642772007492",
"Greenland","GRL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","458638","457977","462672","","478079","476959","","","462864","462538","447415","419727","464759","428392","","","","","","","","","","","","","","514521","","328599","292825","318378","256938","","168707","141789","114237","92775","88802","","","55265","117926","170353","218977","233950","260599","245390","221556","227941","226098","198635","198772","197954","201342",
"Guam","GUM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","15632","15736","","14434","","16670","7447","","9745","","","11621","","","","","","","","","8264","9899","11007","","9282","12190","","","","","","","9473","","","","","675","5425","523.329815355479","325","290.66368308352","","","","","","","","13008","15473","","17362","",
"High income","HIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2856000","2988000","2804000","2205000","2191000","1809000","1676000","1652000","1655000","1633000","1605000","1538000","1459000","1408000","1352000","1309000","1287000","1295000","1323000","1386000","1496000","1651000","1803000","1933000","",
"Hong Kong SAR, China","HKG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19780","18027","9681","14673","9515","5601","7466","1798","1420","1390.081709972","914.932863069058","959.525463872007","1059.13770558225","2425.87892720307","2775.92804569204","2271.07991979376","740.051952358568","441.179223458923","245.851719278784","2372.43198825821","3586.89679278055","3955.81941990217","4755.10323468689","4490.55652522587",
"Honduras","HND","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","159607","143338","145777","","88821","82701","79497","","87364","","","","","123017","","114500","","","","","","","156066","","","115031","105579","157164","111264","182100","150746","176090","174303","181047","216570","266584","277340","292168","279615","269180","","262925","279423","318905","302852","309515","346452",
"Heavily indebted poor countries (HIPC)","HPC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","492","790","882","","1381","1539","1606","1969","3854","1693","1726","1695","2049","2334","2360","2856","2406","2566","3154","2901","2717","2570","2642","",
"Haiti","HTI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","550545","558076","526116","501009","541048","500534","483200","574614","","","","","","","","","","500435","","","","","","","","","","","","","","","","","","","3718.7949865954","","","","","","","","",
"Hungary","HUN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11545","7147","616","94","172","369","663","1730","3410","6362","8025","9217","6430","9625","13782","16810","19789","19341","17205","16402","15796","13986","13457","7985","",
"IBRD only","IBD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","5456613","5470670","","5926038","5600581","5144351","4753405","3353653","","","2363737","931927","600505","527935","497616","652367","403297","548571","528405","1009038","1306455","1494448","1684533","1384502","1348160","1649514","1702062","","","","1082406","1148725","1182554","1369667","1559205","1117320","554080","690846","264905","104908","486790","63112","490076","959679","","1685507","1796456","2189066.4453125","495248.938956723","778194.218833413","420235.204818223","358046.028433468","211984.970489349","310417.722365066",
"IDA only","IDX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13922653","16117290","16538593","10658014","","","","1084266","513722","2225821","1397791","3417578","864367","532655","","","4527728","6862825","7314981","8400290","3989763","1734549.99825594","103701.274301276","548703.462368608","119748.74500455",
"Not classified","INX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179","795","952","83","402","1139","526","806","354","128","981","621","294","376","197","263","64","159","10","773","238","4254","6113","","",
"Iran, Islamic Rep.","IRN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","2119519","","","","","","","","","","","","","1002730","1069195","1128985","1225243","1239916","1318446","911722","","737339","","","","","975763","","1512711","1417290","","206217","155856","106754","52068","65766","313743","","267384","315219","276519","245249","153978","285445","281939","264491","205506","","125631","151524","","","","",
"Iraq","IRQ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","689516","723420","749868","752851","753240","588870","552175","523663","212425","143366","202499","","344513","","397577","353506","316421","276988","309657","","","","644561","","","918723","","","596787","712580","","","622762","670413","","","498693","","","","","","","","","","","","","","","","","",
"Iceland","ISL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","218","373","298","291","265","335","436","473","478","351","375","337","359","356","389","327","345","361","395","474","476","503","599","",
"Israel","ISR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21863","28407","27775","32918","31375","34076","34347","33306","34563","17873","16367","15028","14647","16591","20730","23041","23989","30246","32954","36904","38897","37652","38591","41407","",
"Italy","ITA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3755","6006","5632","7617","5185","9911","10258","11020","11421","8458","6072","8257","9482","25050","34972","42524","47236","46243","43832","43971","39912","55640","64907","52117","",
"Jamaica","JAM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","2657","7348","8865","","2942","5110","7349","","4882","10898","15878","17330","13953","25329","13758","15073","18871","","29781","","","","","","41735","38811","39941","44134","47215","35931","35282","","","","","","","","25218","30276","29167","30166","27830.738423","26687","22970","30434","35301","15425","27604","",
"Jordan","JOR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78685","65418","56133","55999","61355","76404","99969","","105572","99318","96172","64646","","","39331","23834","19395","19756","17986","28968","21339","30737","21351",
"Japan","JPN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2090","6711","9398","6095","3207","5893","5422","8410","1885","5974","3971","",
"Kazakhstan","KAZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53182","28095","27422","24507","24586","21178","23156","38263","52341","67436","78577","75710","80042","91695","100221","105069","113415","80808","72946","58533","165748","170299","162925","93210","102766",
"Kenya","KEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1963801","1867154","1470292","1614261","837525","908635","861156","914574","311609","601767","505601","","","1249057","","","","","","","","","2996749","2704434","468923","",
"Kyrgyz Republic","KGZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61830","","","32311","39256","38112","40255","43918","21705","33015","26008","28752","28506","26580","21192","24136","23777","23592","20258","22796","12987","13463","12165","15475","30936","25931","21412","","18748",
"Cambodia","KHM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","290788","362398","337522","227015","","","89285","","","103853","81760","93303","","124229","25105","47785","","166042","160776","199386","229625","222356","188935","190883","223795.998046875","320435.012695312","159915.60865639","76741.0456542969",
"Kiribati","KIR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","822","","482","267","358","408","166","164","428","","92","","64","63","80","37","0","21","178","","","350","","","","","","","","","","","","","","60.8816002155163","140.936242934138","164.59034792368","223.993929091794","","","361.648944487882","450.499169527186","794","1547","1596",
"St. Kitts and Nevis","KNA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","531","358","","","","","","50","","","","","","","","","123","4","115","2","66","","49","48","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98027","92431","85209","50430","59631","28666","22143","9081","5909","43186","1882","30663","36021","65766","81037","4439","19406","51373","51348","25087","37706","41169","29809","175","",
"Kuwait","KWT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","43726","43401","42101","42675","42689","41604","37585","27254","30038","33167","34241","34382","34203","36874","39468","41732","53453","56663","","","","63522","","42880","","41830","45734","27064","26628","22812","16048","8178","3868","3615","5155","","965","1604","","993.049950344663","145.231571377226","2879.5348622775","4275","5077.92328898676","7874.84358477054","21183","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197061","","212025","","271393","249837","232293","","229773","217689","198739","198489","196823","205213","195839","175441","172805","166674","161206","139022","119624","100285","63159","60276","55859","36943","29481","35907","39411","47181","51275","50262","52166","53689","72541","73926","81506",
"Lebanon","LBN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","29799","","","","","","","","","","","","","","","","","","","","","","","211715","147476","123719","115898","136291","129219","118840","108912","108414","113436","116143","126067","131020","129788","124427","116598","106958","160957","186429","167102","159134","166088","173794","182162","190995","184913","172038","146896",
"Liberia","LBR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245056","","","","","","","","","363796","","","26438","","","463675","103538","159241","211074","","","263314","300269","327280","","",
"Libya","LBY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","142967","117477","95862","64177","52642","29865","29567","38828","","18016","41161","","30335","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","1453","1396","154","251","0","226","","","","2488","","","","","","","","","","2123","1682","80","250","1270","1896","1511","1519","1322","950","1145","1317","1376","1220","1442","1190","1404","1298","1144","964","911","","316","304","1033",
"Latin America & Caribbean","LCN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29750000","29130000","28540000","27870000","27220000","26560000","25990000","25410000","24840000","24430000","24340000","24420000","24560000","24880000","25530000","26200000","26850000","27440000","28100000","28700000","29110000","29380000","30040000","30280000","",
"Liechtenstein","LIE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","9","6","23","20","16","29","15","24","29","","44","1","6","3","3","2","11","16","","","",
"Sri Lanka","LKA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","359350","","","","","","","","","36193","","","","","","","","","","","","","","","54134","73117","98948","133718","137154","135227","131089","131890","156822","125454","128905","134633","4794.78001781646","115948","71920","68933","6060.54184166249","3098.50134892319","8815.2325593601","13115.69938967","34687.1988629683","135381.602929688","157499.333935547","",
"Lower middle income","LMC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79400000","74840000","70800000","67220000","64730000","63050000","60920000","59000000","56830000","55230000","52510000","50130000","48160000","46560000","44990000","43790000","42830000","41830000","40910000","39940000","38840000","37800000","36690000","35740000","",
"Low & middle income","LMY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","76253","85877","86090","86494","70637","","70765","68898","85525","85114","87996","91530","85397","92542","96341","96530","103654","91759","93594","101173","110070","110768","115033","128117","130780","140362","142900","","168634","176214","96087","85291","73269","62979","62517","55864","45730","51562","49096","51684","49781","48923","48875","48661","54096","57261","55889","51629","71625","82562","89478","113157","110928","117314","124175",
"Late-demographic dividend","LTE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242","639","480","197","","","","","","","","","","148","532","371","204","151","412","657","588","627","27","120","",
"Luxembourg","LUX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1356","1067","934","1517","1570","917","1046","1084","1150","","1386","1809","695","980","1100","969","985","1280","960","589","647","681","144","254","",
"Latvia","LVA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","972","958","852","1639","2115","2262","2406","2107","1854","1382","1421","1566","1525","1724","2427","",
"Macao SAR, China","MAC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5462","3930","3756","3416","3697","4067","3489","3005","2713","2373","1641","2040","1728","1111","1032","639","720.89473286481","656","2074","3591","5067","7072","6221","4608",
"St. Martin (French part)","MAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1352180","1360171","1386701","","1372011","1328102","1265732","1215777","1187206","1155996","1131212","1167690","1140752","1101400","1157822","1223574","1300153","1369489","1457089","1451749","1751094","1729851","1630605","1502208","1361930","1257515","1203910","1266534","855359","732215","637067","538700","475342","490444","472578","444568","423758","433273","470382","327550","267249","292856","252270","293780","394740","320054","284431","204590","126727","19245.9676216082","18988.0868574185","","","",
"Monaco","MCO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12754","11940","11918","11690","263.774350557476","582.752600569438","810.836341604328","861.461259079893","875.774463631591","2563.17825979585","1040.71931504378","431.600363099948","557.675749164453","749.512780680685","587.994778622073",
"Madagascar","MDG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","423435","","","","","","","","","","","","","","","","","648668","685449","","","","","925528","911926","","","853511","850984","865019","895497","704288","","","","","","","63514","54473.9183552354","62203.0419242261","68182.1785466401","68053.7739740652","71904.9554075981","100767","78916.7198423226","88040","331018","251871","97095.2036771737","121822.423928992","129499.448553107","135620.714821936",
"Maldives","MDV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2901","","1994","1835","1902","1963","","1893","2146","2103","2521","2420","1907","2563","2155.29293521727","2488","2629","1955.14561532022","2054.25253564604","2550.19368750296","2321.98204717197","2380.97753591641","2263.21350012593","2392.43720628747","","2494","3089","417.765304850174",
"Middle East, North Africa, Afghanistan & Pakistan","MEA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8115","23211","34103","36972","40213","29060","25605","21382","12914","16661","21830","27853","31456","36338","42418","42584","42015","44745","34220","42275","38701","44228","45259","45955","",
"Marshall Islands","MHL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289","","","","","","","","","9","","","","690","452.000000953672","","","65.9927035036271","60.7054470648081","3.13849357458275","20.2655164961707","17.479374326691","77.8422432973839",
"Middle income","MIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North Macedonia","MKD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","323","436","1845","1024","1137","3059","1765","5304","3007","383","","2668","3869","4369","2560","","3332","3842","8415","7961","8539","3232","4151","",
"Mali","MLI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","754601","764241","777189","771466","","","830363","","","","","","","","","","","","","","","","","","","","","","1128125","","","1048996","1064295","1083366","1003713","1005792","995934","","909099","925682","947621","1052054","1213854","1239947","1371594","1379421","1257873","1390223","","","","","1186892","",
"Malta","MLT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","63","207","280","306","321","274","229","626","1015","1431","1988","738","",
"Myanmar","MMR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1375914","","1119418","1495137","","","","1287088","","","","","","","","","","","","","","","","","","","","","","344933","320916","420356","297882","311270","259350","221922","366449","89894","79238","65967","","","","","","","","","","","","","","",
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","MNA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","18","1138","1944","1708","","","145","335","","","14","473","47","868","122","115","64","","80","",
"Mongolia","MNG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","7638","","","10086","","","","12589","","","","","","","","40787","35770","45407","33260","24453","16300","12326","15028","31248","16163","24365","13105","10743","4327","324","586","420","3857","10964","13033","12914","11391","18957","15563.9952697754","20505.0004577637","28547.005859375","32340.9903564453","29590.998840332","31778.9943847656","35208.9993896484",
"Northern Mariana Islands","MNP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","761632","","","","","","775048","","845416","857309","654781","","631274","659663","905599","967427","965570","942782","998544","1048217","1072757","1118627","1237509","","","1744454","1662225","1569319","1436269","1609935","","1162993","978941","830848","613683","456679","385740","296233","367780","325801","241506","193697","140842.137750685","237273","357063","194412","74101.5114180529","49491.2792907394","","64247.3903273614","","",
"Mauritania","MRT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","194230","","","","","","","","","195390","176266","167864","","162058","169323","176382","170763","181243","173525","144380","152660","139256","132521","148662","152362","155403","161822","180028","177772","176825","160765","221903","202542","199495","231944","195919","","","","291098",
"Mauritius","MUS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724","700","630","2379","2101","2186","2768","2747","3727","3624","4208","8764","6556","5970","5520","5035","4525","2259","3770","3162","5127","","1399","618.430232269282",
"Malawi","MWI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38412","","","","","17811","16470","28279","75144","30521","23370","","","","","","","","","","","","75353.6072778427","70758.0297260471","","",
"Malaysia","MYS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","138174","124528","96877","","","","","","","","","","","","","","","","","","","","","","111955","","","","121397","97398","87056","154096","229189","224818","142038","107279","178184","146936","138396","130737","151224","166212","175024","179814","229155","254960","258741","254364","250219","354480","389154","404416","419775","308987","404724",
"North America","NAC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34216","33951","","20743","","16994","17603","23004","24807","27737","35433","38106","39093","35637","34567","39449","32570","36947","24291","23794","20674","17009.0017700195","12815.0026550293","6918.99688720703","2767.0094859071","4075.7096692138","5007.81557307963","5766.29392030119","5558.20536704734","5823.31103586394","5778.01919628365","4451.8722402929","3790.84832540108","5003.59236720327","3787.74632343836","4230.20946880174",
"New Caledonia","NCL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","1939","1551","1796","3223","3203","2832","1085","498","1641","1409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","741621","753734","","","769258","776511","","","804665","","","","","893316","","","998942","1026010","1051160","1111829","","","","","1240054","1275116","1287958","1321093","1306635","1294343","1277282","1260352","1318298","1353494","1392369","1373360","1336682","1284462","1207685","1219509","1254841","1322924","1314694","1324023","1259117","","1625786","","1759698","1800747","1779825","1876779",
