"Data Source","World Development Indicators",
"Nigeria","NGA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7544191","7209033","","","","7903004","8047765","8241086","7904316","9808950","9900361","10293439","","","","","","","","","","","","","9070702","",
"Nicaragua","NIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","187248","183986","193197","196235","203776","202166","203479","214556","231222","","197426","","217059","220463","236514","217684","232737","229006","233264","250152","236563","220666","198074","194896","191149","209842","221443","","","148270","124057","92660","35993","","8479","7555","23739","29622","25034","","34410","","","","","","","","","","","","","53481","",
"Netherlands","NLD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2274","2928","1416","1937","2114","4446","5698","",
"Norway","NOR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2970","2267","2361","2519","2252","2658","2204","1349","701","778","1076","827","1150","1122","1788","2307","3052","2918","3394","3769","4662","4216","4220","5825","",
"Nepal","NPL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","912191","903127","","","","850134","","","","","","","","","","","1173294","1023034","","","839999","768111","","","","","","","55749","40697","","32146","27373","13020","38642","","","","7029.75085426215","18195.2658322458","57234.1603078972","57449.248105255",
"Nauru","NRU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145","","","","","247","","115","","132","","","64","150","","92","8","55.3230826671306",
"New Zealand","NZL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2264","3379","4386","4575","4918","5066","3851","5130","5306","9913","8998","",
"OECD members","OED","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Oman","OMN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54252","50471","50020","39427","","","","","","5558","","717.33464558475","4442","3270","6118","12091","15015","9993","3745","7969","34075","37939","40605","","",
"Other small states","OSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pakistan","PAK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9136436.75390625","8625053.18359375","8389473.32421875","5434995.81640625",
"Panama","PAN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","63234","44891","40180","36315","","33788","35083","","28442","32223","34701","37892","39992","42609","42337","39763","39700","37516","41874","39310","42108","","","","","","","","","25960","21214","15338","6361","","476","2000","244","390","2172","13503","12001","17273","20906","25120","34200","43797","","55869","","54425","44539","15870","14057","41370","",
"Peru","PER","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","486076","","","410835","","","","","","","422543","299021","290240","","","161853","","","301097","","","","","351997","","544504","561029","582489","112489","72877","57430","35352","16208","70471","11365","16257","24844","28344","27905","27217","21009","25931","","","","","2666","1552","6314","5359","","","","","",
"Philippines","PHL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","918601","","","880452","","977784","921109","991672","991215","671438","733548","735306","586140","485924","460200","","877636","1037170","1253900","","1074385","","1524539","1863499","","1722199","1691305","1754918","1788500","1731449","1908174","1901756","1817138","1610637","","","","","1372966","1475549","1508140","1494425","1518961","1285015","1198429","1731428","1531686","1470794","1616165",
"Palau","PLW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","28","","","","","","23.7427440633246","8.06476683937831","201","114","",
"Papua New Guinea","PNG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169284","","","","","","","","","","","","","","","","","","","","","","","339432","","384354","","131536","","11662.4529416063","20957.9239218044","41443.5509820422","53289.224709193","","","",
"Poland","POL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42415","29178","30693","28806","30711","31908","36824","48877","58929","66145","62828","69263","73980","81415","90018","","","114695","110315","83029","23857","334","286","1874","",
"Pre-demographic dividend","PRE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico (US)","PRI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25206","30055","21630","17399","13790","13749","24588","","21598","","","","","22174","21785",
"Korea, Dem. People's Rep.","PRK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7727","","","","","","","","","","","","","","","",
"Portugal","PRT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16335","1821","90","520","462","1166","569","2190","5581","860","175","62","1584","1444","4724","12040","15206","14894","12016","5794","1312","546","971","2741","",
"Paraguay","PRY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","61648","","118171","67354","","80213","72670","65473","55115","47633","37312","30540","","30054","29878","26807","29877","24021","14829","6359","3292","2405","61541","2425","33568","41132","20213","","","5408","6735","6173","5680","5193","5720","6259","5463","4428","9493","15679","11843","11085","10851","","","","74167","","","","89796","93012","93829","97283","105859",
"West Bank and Gaza","PSE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39479","30037","32623","27903","27650","29594","41192","47080","51885","45526","40965","37435","37547","39279","29864","25322","24957","23310","18286","23505","28806","34346","44449","52382","53793","",
"Pacific island small states","PSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Post-demographic dividend","PST","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"French Polynesia","PYF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","2536","2710","2877","","","","2010","1981","","","1138","","718","1103","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6952","6666","8743","5233","3864","5740","3101","","2305","2799","3614","1227","3137","7541","5093","2268","121.372066281416","953.121672799549","2887","3919","22996","13938","","",
"Romania","ROU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5849","6540","13560","41029","50808","68519","56940","57787","28764","10078","20240","34853","53033","","","83879","95932","99956","87591","76260","81332","92551","159418","160246","",
"Russian Federation","RUS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306702","315003","235054","247977","","245998","155659","183618","161531","123062","130343","24203","5373","13749","20197.9809452882","19320.4898153218","26138.2242017062","187975","",
"Rwanda","RWA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140152","165831","","","","","","","","","","","","","14570","21152","25201","28353","","1838.76676307782","150245","9133.55546801118","19504.1283484402",
"South Asia","SAS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Saudi Arabia","SAU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","266642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205071","166103","107094","84608.2553285183","","","","69746","109130","92867","","17458",
"Sudan","SDN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2760718","3047788","3069195","3124191","3158151","3104783","3027644","2753520","3169356","","","","","",
"Senegal","SEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","633947","634245","647599","661578","670348","676176","692818","710531","659605","","697110","725893","753872","","794607","","814327","","779609","726063","695741","719484","676284","","","583021","629362","620721","583583","552996","547782","559286","557540","560207","512867","542163","546403","564943","","","","643693","610246","672112","679186","658669","675615",
"Singapore","SGP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4231993908761","71.8498302177468","476","235.85038467258","268.119291853829","1520","2201","504","",
"Solomon Islands","SLB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20062","16418","16352","","","","","","1592","2602","2728","","32711.0009918213","10312.9981842041","13189.9994049072","28503.0005493164","","","38709.9990844727","36439.9963226318",
"Sierra Leone","SLE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","335881","","","","","","","","","","","","","","","","","","","","","","","","","","","","61582","33425","13336.2870831064","","12746.3386713611","","","","","","","","","",
"El Salvador","SLV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","213782","","","","","","","","","","","","","","","","","","","","","","","","","","","","183470","","100163","83326","57367","45093","","","","","","","","","","","46479","51888","57212","84737","79271","97817","100432","106135","105097","95913","57338.9089499814",
"San Marino","SMR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","","129","137","150","159","138","","","","","","88","97","95","105","101","104","91",
"Somalia, Fed. Rep.","SOM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","579476","599670","628417","699492","803231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937","422","3438","4168","9982","15004","7458","10495","10006","3423","2187","2253","2752","3815","4887","7672","9862","10425","","",
"Sub-Saharan Africa (excluding high income)","SSA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","887775","","","","1154645","","","","","","","","","1199083",
"Sub-Saharan Africa","SSF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Small states","SST","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sao Tome and Principe","STP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","693","494","","","440","122","","530","","","","","","","","","4759","","","1166","992","655","477","","2020","2001","1954","2065","","","2697","2780","3022","","969","","","","","","","",
"Suriname","SUR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","3811","2714","","","","","","","3612","","6188","6244","3887","","","","","","","","","","","","","","","","11342","11666","14462","12042","10875","12154","13031","12146","11865","11709","10446","9775","12596","12412","11031","12067","13021","7703.1684352975","6118.57512061251","",
"Slovak Republic","SVK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1858","5518","6224","6173","6495","7860","7350","8037","9519","10017","11257","12083","12578","13766","13763","15084","13637","16561","14191","11607","10060","6651","2889","",
"Slovenia","SVN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1793","1925","2347","2073","2634","1835","1467","2937","2418","2342","2255","2394","2188","2207","2175","2011","2694","2606","1962","1705","1338","2011","1596","1904","",
"Sweden","SWE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1963","3016","2506","2457","2584","2318","1872","1889","1714","2541","4698","13923","3280","5448","8227","5305","2759","1099","3375","5585","5106","3811","4274","3210","",
"Eswatini","SWZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","38387","39106","37615","34895","33988","31896","31268","30446","31021","31198","30424","28868","31399","35152","36933","36828","40868","41950","44287","47346","46429","48711","49658","54376","54733","52348","58032","","","","","","","","","","","","","39403","26173","16141","24164","28658","23886","22346","20327","21509","18425","16153","","","7275","","",
"Sint Maarten (Dutch part)","SXM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.925609756098","","","","","","","","","","","196","",
"Seychelles","SYC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","1577","","","","","","","","","","","","","","779","555","571","554","","115","","","855","378","202","667","294","","","","","","","","129","126","59","90","163","135","197","319","274.553533190578","188","329","699",
"Syrian Arab Republic","SYR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","331138","","249715","232452","238842","227443","235171","269310","276746","264542","264172","260786","254043","224399","200447","172163","103065","101301","87852","91684","89882","83813","86060","83729","120972","157810","191754","178614","162342","168654","176435","140102","38629","31222","29470","28358","28099","26050","24386","25346","19969","20365","766899","","","","","","","1118300","1104008","934935","745174","581845",
"Turks and Caicos Islands","TCA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264","","169","90","","86","443","263","228","","","","102","","","","","347","245","","181.445036642239","","","","142.273044692738","","","3.9178525226389",
"Chad","TCD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","496058","","524477","","","","","","","","","","","626032","","","","","","","","778824","742549","710846","728965","747434","756863","723443","725708","","","","","","","","853188","","571014","","615103","807354","994376","865921","920909","","901579","924138","893810","855041",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Togo","TGO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","197482","199920","","","","","","162037","161287","165553","","191507","209610","251956","269302","301599","254802","257007","259888","257544","247323","","","241014","197997","157400","187526","","100851","136560","122543","91191","120868","99631","106644","80619","122094","111373","","","","","","104716","92340","185309.223","117778","127092","108469","59575","49209","12444.6407656816","10944.1667136084","9263.25802369975",
"Thailand","THA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258941","288540","358347","420969","","","","","","","","156065.117625853","12414.6021045428","25370.8689756161","17935.7428231146","22896.893101478","14086.2694955701","72337.8050472792","24588",
"Tajikistan","TJK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48987","52853","42087","49724","47916","45867","47227","44290","35880","26767","17887","21246","51683","66195","68800","61949","50555","33418","","","","","","","",
"Turkmenistan","TKM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13628","17294","28415",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19567","12577","10663","7462","12197","12354","13015","12810","13840","9195","10475","10554","9477","","","13085","",
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","TMN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tonga","TON","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","10","14","","","","","","465.904686677199","463.400491736102","","327.077789418545","","","31.8496281271127","4","52.4443998394199","567.76278563656","354.147633744855","","",
"South Asia (IDA & IBRD)","TSA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","17778","16521","16325","16290","15486","12080","13495","18362","26659","31012","21348","17932","17504","19043","19176","24107","22311","21344","23269","24950","23979","23119","23798","","","24731","25404","","7937","5615","6641","13978","12724","9271","13324","","3561","10758","9345","7290","","","","","","","","","","","","","38105","",
"Tunisia","TUN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","181368","","","","261639","","","267100","248786","224540","204910","181494","152602","124203","123448","119336","118595","122238","111981","112070","99101","96941","85962","81984","69275","72205","74590","","67255","59388","49030","19874","12425","9771","29999","31849","44071","44137","42108","32984","31732","10657","7758","8848","9461","11230","11816","12473","","21552","21414","19936","14015","",
"Turkiye","TUR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","411","13915","67914","92179","36009","10494","10253","11545","11341","13955","","",
"Tuvalu","TUV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","21.0149253731345","36","","","117","58.2636505460218","","11.0877458396369","4.74084124830392","7.06743185078903",
"Tanzania","TZA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","1487077","","","","1062312","1179366","1439024","1568083","1789407","1990883","2139691","2280160","2432582","2488729","2572700","2651389","2681167","2752223","2857316","2913019","2952834","2966147","3043017","3067021","2896644","2649023","1706576","1180204","932181","671080","333527","","296890","","824620","913005","1206867","1502952","1674221","1924848","2098243","2224318","1802747","1557721","1484665","1439150","1513859","1682043","2011380",
"Uganda","UGA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","1704079","","1702242","1689894","","","","1372756","","","","","","","","","","","","","","","","","","","","","","","358451","613078","398002","","310010","","","","","","","","","","","",
"Ukraine","UKR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32157","159674","152873","136829","130457","121256","118589","123912","129998","144312","166944","182253","199867","279279","297505","306822","318078","311587","309449","299855","","","",
"Upper middle income","UMC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14640000","13910000","13150000","12580000","13110000","12070000","10880000","9825000","8879000","8126000","7665000","7333000","7368000","7852000","8461000","8928000","9195000","9464000","9726000","9828000","9879000","9913000","9981000","10040000","",
"Uruguay","URY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1038","7764","15868","10759","8776","5826","3545","4267","1170","13537","1703","98.3933450561599","713.953511048632","1393.47026703705","1470.32433142781","1026.11925814243","1084.24180080666","1035.8783271343","97.5137583445176","",
"United States","USA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135557","","","","","","","","711515","","446256","88850","104711","141533","224977","489065","996160","965853","","",
"Uzbekistan","UZB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124903","64669","51681","67860","90668","100061","97381","57099","51623","38752","44956","9453.96966064302","40438","31580","37201","107838","130836","15823.7150720488",
"St. Vincent and the Grenadines","VCT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","1948","","1586","","","","","","","","310","","","","","","232","","102","214","350","890","","282","4","93","98","277","114","79","","","","","","","","","","","",
"Venezuela, RB","VEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","529441","515618","517614","546454","536474","484452","460331","434109","422231","","","","","","","","","","","","","","","","","","","","402408","322595","258699","145600","204037","201634","230561","229888","182697","260411","207294","186450","179893","184166","211041","232348","244753","329927","399691","","","","","17440","17643","",
"British Virgin Islands","VGB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","238","276","106","","","","","86","59","42","","38","","","","","21","358","136","65","75","","228","293","18","","20","17.8017894012392","21.584407216495","133","222","226","340","431","107","800","624","137","267","767","441","1080",
"Virgin Islands (U.S.)","VIR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VNM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","18111","","","93164","","","","601158","","","","","","","","","","","","","0","0","0","0","29577","","","142159","67967","","139588","146927","7645","57425","0","0","23805.8535632407","40536.9714128906","11322.155833899","51872.4235661905","112020.857700953","178013.752839176","175465.157872559","111762","166519.400535172","147000.451951424","144562.454110111",
"Vanuatu","VUT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","3732","","","","","","","","3486","","","","","0","","","","2761","2974","2221","1610","1084","1117","1457","265","","","","","","","","","","71","","","","512","500","66.6399026648432","778.000270843506","1406.99982833862","1260.99988174438",
"World","WLD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Samoa","WSM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1908","","","","1511","1319","452","351","","","","","","1271","","971","108.278157243065","341.7804365589","655.000038146973","","54.8304909842918","196.805884506022","37.3249192706135","116.095627927301","239.999744415283","752.999549865723","2019.9992980957","12.9968161761717","158.000141143799","1246.00105285645","625.999355316162",
"Kosovo","XKX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1809511","","1606437","","1407542","1321351","1273870","","","1405218","","1314561","","1294592","1315317","","","1551489","","","","","","","","",
"South Africa","ZAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","1284725","","","","","","","","","","","","","","","","","","","","","989742","","","1283843","1448082","","","1491871","1376898","1430587","1325224","1180313","1080820","1013763","976269","","","","","","","","","","676716","","761156","701278","630820","620737","288480","430540","448146","",
"Zambia","ZMB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","199266","","","","207116","216591","237205","251280","260455","267845","276336","264923","258470","","250895","","280407","","","","","","424207","472672","","","569412","612379","631488","653063","608632","","359221","177787","226714","171316","158908","234997","308248","208858","173742","271401","","","","493015","","","","","","","136539",
"Zimbabwe","ZWE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","2202","","","","","","","","","","","","","","","","312233","202213","116145","32075","92305","120639","","","","","","","","","238497","266943","280990","316088","282603","285035","278600","265100","249958","294539","258220","289420","332314",
